REF_DATE,GEO,DGUID,Job tenure,Type of work,Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Males,25 to 44 years,Persons,249,thousands,3,v2838571,1.1.1.2.4,4286.5,,,,1
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Males,45 years and over,Persons,249,thousands,3,v2838598,1.1.1.2.5,4232.2,,,,1
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Males,25 to 54 years,Persons,249,thousands,3,v2838625,1.1.1.2.6,6337.4,,,,1
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Males,55 years and over,Persons,249,thousands,3,v2838679,1.1.1.2.7,2181.2,,,,1
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Males,55 to 64 years,Persons,249,thousands,3,v2838706,1.1.1.2.8,1690.5,,,,1
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Males,65 years and over,Persons,249,thousands,3,v2838733,1.1.1.2.9,490.7,,,,1
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Females,15 years and over,Persons,249,thousands,3,v2838760,1.1.1.3.1,8899.4,,,,1
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Females,15 to 24 years,Persons,249,thousands,3,v2838895,1.1.1.3.2,1210.7,,,,1
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Females,25 years and over,Persons,249,thousands,3,v2838787,1.1.1.3.3,7688.6,,,,1
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Females,25 to 44 years,Persons,249,thousands,3,v2838814,1.1.1.3.4,3926.6,,,,1
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Females,45 years and over,Persons,249,thousands,3,v2838841,1.1.1.3.5,3762,,,,1
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Females,25 to 54 years,Persons,249,thousands,3,v2838868,1.1.1.3.6,5858.7,,,,1
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Females,55 years and over,Persons,249,thousands,3,v2838922,1.1.1.3.7,1829.9,,,,1
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Females,55 to 64 years,Persons,249,thousands,3,v2838949,1.1.1.3.8,1498.3,,,,1
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Females,65 years and over,Persons,249,thousands,3,v2838976,1.1.1.3.9,331.6,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Both sexes,15 years and over,Persons,249,thousands,3,v2838283,1.1.2.1.1,15174.8,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2838418,1.1.2.1.2,1281.7,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Both sexes,25 years and over,Persons,249,thousands,3,v2838310,1.1.2.1.3,13893.1,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2838337,1.1.2.1.4,7234.3,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Both sexes,45 years and over,Persons,249,thousands,3,v2838364,1.1.2.1.5,6658.8,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Both sexes,25 to 54 years,Persons,249,thousands,3,v2838391,1.1.2.1.6,10774.9,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Both sexes,55 years and over,Persons,249,thousands,3,v2838445,1.1.2.1.7,3118.2,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Both sexes,55 to 64 years,Persons,249,thousands,3,v2838472,1.1.2.1.8,2639.6,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Both sexes,65 years and over,Persons,249,thousands,3,v2838499,1.1.2.1.9,478.6,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Males,15 years and over,Persons,249,thousands,3,v2838526,1.1.2.2.1,8565,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Males,15 to 24 years,Persons,249,thousands,3,v2838661,1.1.2.2.2,739.7,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Males,25 years and over,Persons,249,thousands,3,v2838553,1.1.2.2.3,7825.2,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Males,25 to 44 years,Persons,249,thousands,3,v2838580,1.1.2.2.4,4033.5,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Males,45 years and over,Persons,249,thousands,3,v2838607,1.1.2.2.5,3791.8,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Males,25 to 54 years,Persons,249,thousands,3,v2838634,1.1.2.2.6,5982.6,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Males,55 years and over,Persons,249,thousands,3,v2838688,1.1.2.2.7,1842.6,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Males,55 to 64 years,Persons,249,thousands,3,v2838715,1.1.2.2.8,1523.2,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Males,65 years and over,Persons,249,thousands,3,v2838742,1.1.2.2.9,319.4,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Females,15 years and over,Persons,249,thousands,3,v2838769,1.1.2.3.1,6609.9,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Females,15 to 24 years,Persons,249,thousands,3,v2838904,1.1.2.3.2,542,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Females,25 years and over,Persons,249,thousands,3,v2838796,1.1.2.3.3,6067.9,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Females,25 to 44 years,Persons,249,thousands,3,v2838823,1.1.2.3.4,3200.9,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Females,45 years and over,Persons,249,thousands,3,v2838850,1.1.2.3.5,2867,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Females,25 to 54 years,Persons,249,thousands,3,v2838877,1.1.2.3.6,4792.3,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Females,55 years and over,Persons,249,thousands,3,v2838931,1.1.2.3.7,1275.6,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Females,55 to 64 years,Persons,249,thousands,3,v2838958,1.1.2.3.8,1116.4,,,,1
2018,Canada,2016A000011124,Total employed,Full-time employment,Females,65 years and over,Persons,249,thousands,3,v2838985,1.1.2.3.9,159.2,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Both sexes,15 years and over,Persons,249,thousands,3,v2838292,1.1.3.1.1,3482.7,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2838427,1.1.3.1.2,1168.5,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Both sexes,25 years and over,Persons,249,thousands,3,v2838319,1.1.3.1.3,2314.2,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2838346,1.1.3.1.4,978.8,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Both sexes,45 years and over,Persons,249,thousands,3,v2838373,1.1.3.1.5,1335.4,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Both sexes,25 to 54 years,Persons,249,thousands,3,v2838400,1.1.3.1.6,1421.3,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Both sexes,55 years and over,Persons,249,thousands,3,v2838454,1.1.3.1.7,892.9,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Both sexes,55 to 64 years,Persons,249,thousands,3,v2838481,1.1.3.1.8,549.2,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Both sexes,65 years and over,Persons,249,thousands,3,v2838508,1.1.3.1.9,343.7,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Males,15 years and over,Persons,249,thousands,3,v2838535,1.1.3.2.1,1193.2,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Males,15 to 24 years,Persons,249,thousands,3,v2838670,1.1.3.2.2,499.8,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Males,25 years and over,Persons,249,thousands,3,v2838562,1.1.3.2.3,693.4,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Males,25 to 44 years,Persons,249,thousands,3,v2838589,1.1.3.2.4,253,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Males,45 years and over,Persons,249,thousands,3,v2838616,1.1.3.2.5,440.4,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Males,25 to 54 years,Persons,249,thousands,3,v2838643,1.1.3.2.6,354.8,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Males,55 years and over,Persons,249,thousands,3,v2838697,1.1.3.2.7,338.6,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Males,55 to 64 years,Persons,249,thousands,3,v2838724,1.1.3.2.8,167.3,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Males,65 years and over,Persons,249,thousands,3,v2838751,1.1.3.2.9,171.3,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Females,15 years and over,Persons,249,thousands,3,v2838778,1.1.3.3.1,2289.5,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Females,15 to 24 years,Persons,249,thousands,3,v2838913,1.1.3.3.2,668.7,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Females,25 years and over,Persons,249,thousands,3,v2838805,1.1.3.3.3,1620.8,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Females,25 to 44 years,Persons,249,thousands,3,v2838832,1.1.3.3.4,725.8,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Females,45 years and over,Persons,249,thousands,3,v2838859,1.1.3.3.5,895,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Females,25 to 54 years,Persons,249,thousands,3,v2838886,1.1.3.3.6,1066.5,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Females,55 years and over,Persons,249,thousands,3,v2838940,1.1.3.3.7,554.3,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Females,55 to 64 years,Persons,249,thousands,3,v2838967,1.1.3.3.8,381.9,,,,1
2018,Canada,2016A000011124,Total employed,Part-time employment,Females,65 years and over,Persons,249,thousands,3,v2838994,1.1.3.3.9,172.4,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Both sexes,15 years and over,Persons,249,thousands,3,v2838275,1.2.1.1.1,1171.2,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2838410,1.2.1.1.2,467,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Both sexes,25 years and over,Persons,249,thousands,3,v2838302,1.2.1.1.3,704.2,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2838329,1.2.1.1.4,472.8,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Both sexes,45 years and over,Persons,249,thousands,3,v2838356,1.2.1.1.5,231.4,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Both sexes,25 to 54 years,Persons,249,thousands,3,v2838383,1.2.1.1.6,604.8,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Both sexes,55 years and over,Persons,249,thousands,3,v2838437,1.2.1.1.7,99.4,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Both sexes,55 to 64 years,Persons,249,thousands,3,v2838464,1.2.1.1.8,83.8,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Both sexes,65 years and over,Persons,249,thousands,3,v2838491,1.2.1.1.9,15.6,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Males,15 years and over,Persons,249,thousands,3,v2838518,1.2.1.2.1,616.7,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Males,15 to 24 years,Persons,249,thousands,3,v2838653,1.2.1.2.2,240.8,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Males,25 years and over,Persons,249,thousands,3,v2838545,1.2.1.2.3,375.9,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Males,25 to 44 years,Persons,249,thousands,3,v2838572,1.2.1.2.4,250.1,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Males,45 years and over,Persons,249,thousands,3,v2838599,1.2.1.2.5,125.8,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Males,25 to 54 years,Persons,249,thousands,3,v2838626,1.2.1.2.6,319.1,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Males,55 years and over,Persons,249,thousands,3,v2838680,1.2.1.2.7,56.8,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Males,55 to 64 years,Persons,249,thousands,3,v2838707,1.2.1.2.8,47.6,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Males,65 years and over,Persons,249,thousands,3,v2838734,1.2.1.2.9,9.3,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Females,15 years and over,Persons,249,thousands,3,v2838761,1.2.1.3.1,554.5,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Females,15 to 24 years,Persons,249,thousands,3,v2838896,1.2.1.3.2,226.3,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Females,25 years and over,Persons,249,thousands,3,v2838788,1.2.1.3.3,328.2,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Females,25 to 44 years,Persons,249,thousands,3,v2838815,1.2.1.3.4,222.7,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Females,45 years and over,Persons,249,thousands,3,v2838842,1.2.1.3.5,105.6,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Females,25 to 54 years,Persons,249,thousands,3,v2838869,1.2.1.3.6,285.7,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Females,55 years and over,Persons,249,thousands,3,v2838923,1.2.1.3.7,42.5,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Females,55 to 64 years,Persons,249,thousands,3,v2838950,1.2.1.3.8,36.2,,,,1
2018,Canada,2016A000011124,1 to 3 months,Both full and part-time employment,Females,65 years and over,Persons,249,thousands,3,v2838977,1.2.1.3.9,6.3,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Both sexes,15 years and over,Persons,249,thousands,3,v2838284,1.2.2.1.1,806.6,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2838419,1.2.2.1.2,256.8,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Both sexes,25 years and over,Persons,249,thousands,3,v2838311,1.2.2.1.3,549.8,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2838338,1.2.2.1.4,378.5,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Both sexes,45 years and over,Persons,249,thousands,3,v2838365,1.2.2.1.5,171.3,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Both sexes,25 to 54 years,Persons,249,thousands,3,v2838392,1.2.2.1.6,485.3,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Both sexes,55 years and over,Persons,249,thousands,3,v2838446,1.2.2.1.7,64.6,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Both sexes,55 to 64 years,Persons,249,thousands,3,v2838473,1.2.2.1.8,57.7,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Both sexes,65 years and over,Persons,249,thousands,3,v2838500,1.2.2.1.9,6.8,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Males,15 years and over,Persons,249,thousands,3,v2838527,1.2.2.2.1,473.3,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Males,15 to 24 years,Persons,249,thousands,3,v2838662,1.2.2.2.2,147.3,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Males,25 years and over,Persons,249,thousands,3,v2838554,1.2.2.2.3,326,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Males,25 to 44 years,Persons,249,thousands,3,v2838581,1.2.2.2.4,221,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Males,45 years and over,Persons,249,thousands,3,v2838608,1.2.2.2.5,105,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Males,25 to 54 years,Persons,249,thousands,3,v2838635,1.2.2.2.6,283.5,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Males,55 years and over,Persons,249,thousands,3,v2838689,1.2.2.2.7,42.5,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Males,55 to 64 years,Persons,249,thousands,3,v2838716,1.2.2.2.8,37.5,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Males,65 years and over,Persons,249,thousands,3,v2838743,1.2.2.2.9,5,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Females,15 years and over,Persons,249,thousands,3,v2838770,1.2.2.3.1,333.4,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Females,15 to 24 years,Persons,249,thousands,3,v2838905,1.2.2.3.2,109.5,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Females,25 years and over,Persons,249,thousands,3,v2838797,1.2.2.3.3,223.8,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Females,25 to 44 years,Persons,249,thousands,3,v2838824,1.2.2.3.4,157.5,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Females,45 years and over,Persons,249,thousands,3,v2838851,1.2.2.3.5,66.3,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Females,25 to 54 years,Persons,249,thousands,3,v2838878,1.2.2.3.6,201.8,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Females,55 years and over,Persons,249,thousands,3,v2838932,1.2.2.3.7,22.1,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Females,55 to 64 years,Persons,249,thousands,3,v2838959,1.2.2.3.8,20.2,,,,1
2018,Canada,2016A000011124,1 to 3 months,Full-time employment,Females,65 years and over,Persons,249,thousands,3,v2838986,1.2.2.3.9,1.8,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Both sexes,15 years and over,Persons,249,thousands,3,v2838293,1.2.3.1.1,364.5,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2838428,1.2.3.1.2,210.2,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Both sexes,25 years and over,Persons,249,thousands,3,v2838320,1.2.3.1.3,154.4,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2838347,1.2.3.1.4,94.3,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Both sexes,45 years and over,Persons,249,thousands,3,v2838374,1.2.3.1.5,60.1,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Both sexes,25 to 54 years,Persons,249,thousands,3,v2838401,1.2.3.1.6,119.5,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Both sexes,55 years and over,Persons,249,thousands,3,v2838455,1.2.3.1.7,34.8,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Both sexes,55 to 64 years,Persons,249,thousands,3,v2838482,1.2.3.1.8,26.1,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Both sexes,65 years and over,Persons,249,thousands,3,v2838509,1.2.3.1.9,8.8,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Males,15 years and over,Persons,249,thousands,3,v2838536,1.2.3.2.1,143.4,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Males,15 to 24 years,Persons,249,thousands,3,v2838671,1.2.3.2.2,93.5,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Males,25 years and over,Persons,249,thousands,3,v2838563,1.2.3.2.3,49.9,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Males,25 to 44 years,Persons,249,thousands,3,v2838590,1.2.3.2.4,29.1,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Males,45 years and over,Persons,249,thousands,3,v2838617,1.2.3.2.5,20.8,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Males,25 to 54 years,Persons,249,thousands,3,v2838644,1.2.3.2.6,35.6,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Males,55 years and over,Persons,249,thousands,3,v2838698,1.2.3.2.7,14.4,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Males,55 to 64 years,Persons,249,thousands,3,v2838725,1.2.3.2.8,10.1,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Males,65 years and over,Persons,249,thousands,3,v2838752,1.2.3.2.9,4.3,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Females,15 years and over,Persons,249,thousands,3,v2838779,1.2.3.3.1,221.1,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Females,15 to 24 years,Persons,249,thousands,3,v2838914,1.2.3.3.2,116.7,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Females,25 years and over,Persons,249,thousands,3,v2838806,1.2.3.3.3,104.4,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Females,25 to 44 years,Persons,249,thousands,3,v2838833,1.2.3.3.4,65.1,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Females,45 years and over,Persons,249,thousands,3,v2838860,1.2.3.3.5,39.3,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Females,25 to 54 years,Persons,249,thousands,3,v2838887,1.2.3.3.6,83.9,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Females,55 years and over,Persons,249,thousands,3,v2838941,1.2.3.3.7,20.5,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Females,55 to 64 years,Persons,249,thousands,3,v2838968,1.2.3.3.8,16,,,,1
2018,Canada,2016A000011124,1 to 3 months,Part-time employment,Females,65 years and over,Persons,249,thousands,3,v2838995,1.2.3.3.9,4.5,,,,1
2018,Canada,2016A000011124,4 to 6 months,Both full and part-time employment,Both sexes,15 years and over,Persons,249,thousands,3,v2838276,1.3.1.1.1,1043.4,,,,1
2018,Canada,2016A000011124,4 to 6 months,Both full and part-time employment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2838411,1.3.1.1.2,371.9,,,,1
2018,Canada,2016A000011124,4 to 6 months,Both full and part-time employment,Both sexes,25 years and over,Persons,249,thousands,3,v2838303,1.3.1.1.3,671.6,,,,1
2018,Canada,2016A000011124,4 to 6 months,Both full and part-time employment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2838330,1.3.1.1.4,456.4,,,,1
2018,Canada,2016A000011124,4 to 6 months,Both full and part-time employment,Both sexes,45 years and over,Persons,249,thousands,3,v2838357,1.3.1.1.5,215.2,,,,1
2018,Canada,2016A000011124,4 to 6 months,Both full and part-time employment,Both sexes,25 to 54 years,Persons,249,thousands,3,v2838384,1.3.1.1.6,581.6,,,,1
2018,Canada,2016A000011124,4 to 6 months,Both full and part-time employment,Both sexes,55 years and over,Persons,249,thousands,3,v2838438,1.3.1.1.7,90,,,,1
2018,Canada,2016A000011124,4 to 6 months,Both full and part-time employment,Both sexes,55 to 64 years,Persons,249,thousands,3,v2838465,1.3.1.1.8,75.2,,,,1
2018,Canada,2016A000011124,4 to 6 months,Both full and part-time employment,Both sexes,65 years and over,Persons,249,thousands,3,v2838492,1.3.1.1.9,14.8,,,,1
2018,Canada,2016A000011124,4 to 6 months,Both full and part-time employment,Males,15 years and over,Persons,249,thousands,3,v2838519,1.3.1.2.1,547.8,,,,1
2018,Canada,2016A000011124,4 to 6 months,Both full and part-time employment,Males,15 to 24 years,Persons,249,thousands,3,v2838654,1.3.1.2.2,189.6,,,,1
2018,Canada,2016A000011124,4 to 6 months,Both full and part-time employment,Males,25 years and over,Persons,249,thousands,3,v2838546,1.3.1.2.3,358.2,,,,1
2018,Canada,2016A000011124,4 to 6 months,Both full and part-time employment,Males,25 to 44 years,Persons,249,thousands,3,v2838573,1.3.1.2.4,240.1,,,,1
2018,Canada,2016A000011124,4 to 6 months,Both full and part-time employment,Males,45 years and over,Persons,249,thousands,3,v2838600,1.3.1.2.5,118.1,,,,1
2018,Canada,2016A000011124,4 to 6 months,Both full and part-time employment,Males,25 to 54 years,Persons,249,thousands,3,v2838627,1.3.1.2.6,309.2,,,,1
2018,Canada,2016A000011124,4 to 6 months,Both full and part-time employment,Males,55 years and over,Persons,249,thousands,3,v2838681,1.3.1.2.7,49,,,,1
2018,Canada,2016A000011124,4 to 6 months,Both full and part-time employment,Males,55 to 64 years,Persons,249,thousands,3,v2838708,1.3.1.2.8,40.2,,,,1
2018,Canada,2016A000011124,4 to 6 months,Both full and part-time employment,Males,65 years and over,Persons,249,thousands,3,v2838735,1.3.1.2.9,8.8,,,,1
2018,Canada,2016A000011124,4 to 6 months,Both full and part-time employment,Females,15 years and over,Persons,249,thousands,3,v2838762,1.3.1.3.1,495.6,,,,1
